customerID	gender	SeniorCitizen	Partner	Dependents	tenure	PhoneService	MultipleLines	InternetService	OnlineSecurity	OnlineBackup	DeviceProtection	TechSupport	StreamingTV	StreamingMovies	Contract	PaperlessBilling	PaymentMethod	MonthlyCharges	TotalCharges	Churn	probability
8495-LJDFO	Female	Yes	No	No	64	Yes	Yes	Fiber optic	Yes	No	Yes	Yes	Yes	Yes	Month-to-month	Yes	Bank transfer (automatic)	108.95	7111.3	No	0.260564772603
0839-JTCUD	Female	No	Yes	Yes	66	Yes	Yes	DSL	Yes	Yes	Yes	Yes	Yes	Yes	Two year	No	Credit card (automatic)	89.9	5958.85	No	0.00543666478449
5494-WOZRZ	Female	No	Yes	Yes	71	Yes	No	DSL	Yes	No	Yes	Yes	Yes	Yes	Two year	Yes	Credit card (automatic)	82.0	5999.85	No	0.0134236436207
1302-UHBDD	Male	Yes	No	No	20	Yes	No	Fiber optic	No	No	No	No	Yes	Yes	Month-to-month	No	Electronic check	89.95	1648.45	No	0.414147116703
2234-EOFPT	Male	No	Yes	No	72	Yes	No	DSL	Yes	Yes	No	Yes	Yes	Yes	Two year	Yes	Bank transfer (automatic)	79.35	5753.25	No	0.0137073896863
8619-IJNDK	Female	No	Yes	Yes	71	Yes	No	DSL	Yes	Yes	Yes	Yes	No	No	Two year	No	Credit card (automatic)	64.05	4492.9	No	0.00863348210097
8378-LKJAF	Male	No	Yes	Yes	38	Yes	Yes	Fiber optic	No	No	Yes	No	Yes	Yes	Month-to-month	Yes	Credit card (automatic)	101.15	3956.7	No	0.3355492288
8182-BJDSI	Female	No	No	No	28	Yes	Yes	Fiber optic	No	Yes	No	No	No	Yes	Month-to-month	Yes	Electronic check	89.95	2625.55	Yes	0.663299924725
2528-HFYZX	Male	Yes	Yes	No	17	Yes	No	Fiber optic	No	Yes	No	No	No	No	Month-to-month	Yes	Electronic check	76.45	1233.4	Yes	0.636825291375
1153-GNOLC	Male	No	No	No	33	No	No phone service	DSL	No	Yes	No	No	Yes	No	One year	Yes	Electronic check	39.1	1309.0	No	0.189119231681
3298-QEICA	Female	No	Yes	Yes	23	No	No phone service	DSL	Yes	No	No	Yes	No	No	Two year	No	Mailed check	34.6	813.45	No	0.0262214254021
0788-DXBFY	Male	No	Yes	Yes	58	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	One year	Yes	Electronic check	19.55	1108.8	No	0.0158316345551
3597-YASZG	Female	Yes	Yes	No	70	Yes	Yes	Fiber optic	No	Yes	No	Yes	Yes	Yes	Two year	Yes	Bank transfer (automatic)	104.45	7349.35	No	0.084759120008
3496-LFSZU	Male	No	Yes	No	4	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	No	Electronic check	70.5	294.2	No	0.516458235948
5242-UOWHD	Male	No	Yes	Yes	45	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	No	Mailed check	20.35	929.2	No	0.00137931034483
2482-CZGBB	Male	No	No	No	10	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	70.0	740.0	Yes	0.474543782407
6479-SZPLM	Male	No	Yes	Yes	36	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	No	Credit card (automatic)	19.45	754.5	No	0.0
8097-VBQTZ	Male	No	No	No	54	Yes	No	DSL	Yes	Yes	No	Yes	Yes	No	Month-to-month	Yes	Mailed check	69.9	3883.3	No	0.0864268456724
4500-HKANN	Male	No	Yes	Yes	23	Yes	Yes	DSL	No	Yes	No	Yes	No	No	Two year	No	Mailed check	59.7	1414.2	No	0.0765483748949
9917-KWRBE	Female	No	Yes	Yes	41	Yes	Yes	DSL	Yes	Yes	Yes	No	Yes	No	One year	Yes	Credit card (automatic)	78.35	3211.2	No	0.0317062105518
3420-ZDBMA	Male	Yes	No	No	5	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Mailed check	71.45	371.6	No	0.490037564422
2212-LYASK	Male	No	Yes	Yes	27	No	No phone service	DSL	No	Yes	Yes	No	No	Yes	One year	Yes	Credit card (automatic)	45.85	1246.4	No	0.0841620328184
1393-IMKZG	Female	No	No	No	1	Yes	No	Fiber optic	No	No	No	Yes	Yes	Yes	Month-to-month	Yes	Electronic check	95.85	95.85	No	0.56429120603
8069-RHUXK	Female	No	Yes	Yes	67	No	No phone service	DSL	Yes	No	No	Yes	No	No	Two year	No	Credit card (automatic)	35.7	2545.7	No	0.0190262145262
3398-GCPMU	Female	Yes	Yes	Yes	72	Yes	Yes	DSL	Yes	Yes	Yes	Yes	Yes	Yes	Two year	Yes	Credit card (automatic)	89.55	6448.85	No	0.0905845094448
2908-WGAXL	Female	No	Yes	Yes	56	Yes	Yes	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	Yes	Credit card (automatic)	24.95	1468.9	No	0.00234519104084
3378-AJRAO	Male	No	Yes	Yes	44	Yes	Yes	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	One year	No	Electronic check	24.85	1013.6	No	0.0177485784737
1013-QCWAM	Female	Yes	Yes	No	66	Yes	Yes	Fiber optic	No	Yes	No	No	Yes	Yes	Month-to-month	Yes	Electronic check	100.8	6690.75	No	0.3605977707
0866-QLSIR	Female	No	No	No	34	Yes	Yes	DSL	Yes	Yes	No	Yes	No	No	One year	Yes	Mailed check	64.4	2088.75	Yes	0.150603798629
6050-FFXES	Female	No	Yes	No	69	Yes	Yes	Fiber optic	No	No	Yes	Yes	Yes	Yes	Two year	No	Bank transfer (automatic)	105.35	7240.65	No	0.0866433845563
7181-BQYBV	Female	No	Yes	Yes	1	Yes	Yes	Fiber optic	Yes	No	Yes	No	Yes	Yes	Month-to-month	Yes	Electronic check	102.45	102.45	Yes	0.675574805264
0362-RAOQO	Female	No	No	No	40	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	No	Credit card (automatic)	19.65	830.25	No	0.0
9554-DFKIC	Male	No	Yes	Yes	30	Yes	Yes	DSL	Yes	No	No	No	No	No	Month-to-month	Yes	Bank transfer (automatic)	54.45	1588.7	No	0.113703555716
5527-ACHSO	Female	No	No	No	11	Yes	No	DSL	No	No	No	Yes	Yes	Yes	Month-to-month	No	Mailed check	70.5	829.3	No	0.263115458264
0829-DDVLK	Female	No	No	No	15	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	One year	No	Credit card (automatic)	20.1	302.45	No	0.0182127904341
1399-UBQIU	Male	No	No	No	11	Yes	No	DSL	No	No	Yes	No	Yes	Yes	Month-to-month	Yes	Electronic check	69.35	712.25	No	0.389410148089
1813-JLKWR	Female	No	Yes	Yes	64	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	One year	No	Bank transfer (automatic)	19.8	1336.65	No	0.02508756887
0336-PIKEI	Male	Yes	Yes	No	72	Yes	No	DSL	Yes	Yes	Yes	Yes	Yes	No	Two year	No	Bank transfer (automatic)	74.4	5360.75	No	0.0715850587321
7322-OCWHC	Male	Yes	Yes	No	72	Yes	Yes	Fiber optic	Yes	Yes	Yes	Yes	No	No	Two year	Yes	Bank transfer (automatic)	93.05	6735.05	No	0.0763732361694
9537-VHDTA	Female	No	No	Yes	1	Yes	No	DSL	Yes	No	No	No	No	No	Month-to-month	No	Mailed check	51.2	51.2	No	0.295665189097
4957-TIALW	Female	No	No	Yes	15	Yes	No	DSL	Yes	Yes	Yes	Yes	No	No	One year	No	Credit card (automatic)	65.6	1010.0	No	0.0719921273795
2054-PJOCK	Female	No	No	No	60	Yes	Yes	DSL	No	No	Yes	Yes	Yes	Yes	One year	No	Credit card (automatic)	80.55	4847.05	No	0.059174081917
9150-HEPMB	Male	No	No	No	56	Yes	No	DSL	Yes	No	Yes	No	No	No	One year	No	Mailed check	52.7	3019.7	No	0.0446103771414
9030-QGZNL	Female	No	No	No	8	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	No	Mailed check	20.85	161.65	No	0.00916911045943
6204-IEUXJ	Female	No	No	No	3	Yes	No	Fiber optic	No	No	Yes	Yes	No	No	Month-to-month	No	Credit card (automatic)	80.1	217.55	Yes	0.582859163582
3126-WQMGH	Female	No	Yes	No	49	Yes	Yes	DSL	No	No	No	No	No	No	Month-to-month	Yes	Credit card (automatic)	52.15	2583.75	No	0.119580982662
4529-CKBCL	Female	No	No	No	2	Yes	No	Fiber optic	No	No	No	No	Yes	No	Month-to-month	Yes	Electronic check	80.2	146.05	Yes	0.82086934165
2506-CLAKW	Female	No	No	No	6	Yes	No	Fiber optic	Yes	Yes	Yes	Yes	No	Yes	Month-to-month	Yes	Bank transfer (automatic)	98.15	567.45	Yes	0.560508296568
7176-WRTNX	Male	No	No	No	70	Yes	Yes	Fiber optic	Yes	Yes	Yes	Yes	Yes	Yes	Two year	Yes	Bank transfer (automatic)	114.95	7711.25	No	0.112170087716
1583-IHQZE	Male	No	No	No	12	Yes	Yes	Fiber optic	No	Yes	Yes	Yes	Yes	Yes	Month-to-month	Yes	Mailed check	112.95	1384.75	Yes	0.57669999496
5732-IKGQH	Male	Yes	Yes	No	52	Yes	No	Fiber optic	Yes	No	Yes	Yes	Yes	Yes	One year	Yes	Bank transfer (automatic)	104.45	5481.25	No	0.163563406265
9239-GZHZE	Female	No	Yes	No	72	Yes	Yes	Fiber optic	Yes	Yes	Yes	Yes	Yes	Yes	Two year	Yes	Credit card (automatic)	113.65	8124.2	No	0.00381673101673
7205-BAIAD	Female	No	No	No	40	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	Yes	Bank transfer (automatic)	20.6	827.3	No	0.00115131578947
0151-ONTOV	Female	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	No	Mailed check	70.9	70.9	Yes	0.764167735982
4140-MUHUG	Female	Yes	No	No	3	Yes	No	Fiber optic	No	No	Yes	No	Yes	No	Month-to-month	Yes	Electronic check	86.85	220.95	Yes	0.782219935969
0093-EXYQL	Female	Yes	No	No	40	Yes	No	Fiber optic	No	No	No	No	Yes	Yes	Month-to-month	Yes	Electronic check	91.55	3673.6	No	0.493134067832
8064-RAVOH	Male	No	No	Yes	1	Yes	No	DSL	No	No	Yes	No	No	No	Month-to-month	Yes	Electronic check	49.85	49.85	No	0.680665453942
0219-QAERP	Male	No	Yes	No	30	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	One year	No	Credit card (automatic)	19.8	576.65	No	0.00253968253968
0320-JDNQG	Male	No	Yes	Yes	23	Yes	No	Fiber optic	Yes	No	No	Yes	Yes	Yes	Month-to-month	Yes	Electronic check	99.85	2331.3	Yes	0.442155450064
7180-PISOG	Male	No	Yes	Yes	1	Yes	Yes	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	74.5	74.5	Yes	0.845365009468
9168-INPSZ	Female	Yes	Yes	No	44	Yes	Yes	Fiber optic	No	No	Yes	Yes	Yes	Yes	Month-to-month	No	Electronic check	104.15	4495.65	No	0.257943602493
3571-RFHAR	Male	No	No	No	65	Yes	Yes	Fiber optic	No	Yes	Yes	Yes	Yes	Yes	Month-to-month	Yes	Electronic check	109.15	6941.2	Yes	0.293533849597
0015-UOCOJ	Female	Yes	No	No	7	Yes	No	DSL	Yes	No	No	No	No	No	Month-to-month	Yes	Electronic check	48.2	340.35	No	0.364172250886
5334-AFQJB	Male	Yes	No	No	72	Yes	Yes	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	Yes	Credit card (automatic)	25.1	1789.9	No	0.00416132886721
2754-SDJRD	Female	Yes	No	No	8	Yes	Yes	Fiber optic	No	No	No	Yes	Yes	Yes	Month-to-month	Yes	Credit card (automatic)	100.15	908.55	No	0.553694633871
9578-VRMNM	Female	No	No	No	16	Yes	Yes	DSL	No	No	Yes	No	No	Yes	Month-to-month	Yes	Credit card (automatic)	65.2	1043.35	Yes	0.344041144349
1587-FKLZB	Male	Yes	Yes	Yes	66	Yes	Yes	Fiber optic	No	No	Yes	No	Yes	Yes	Month-to-month	Yes	Credit card (automatic)	99.5	6822.15	Yes	0.431311708676
6140-QNRQQ	Male	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Mailed check	71.55	71.55	Yes	0.721298780671
8963-JLGJT	Male	No	No	Yes	3	Yes	No	DSL	Yes	No	Yes	No	No	No	Month-to-month	No	Mailed check	55.9	157.55	No	0.236804061672
4307-KTUMW	Male	No	Yes	No	53	Yes	Yes	Fiber optic	Yes	No	Yes	No	No	Yes	Month-to-month	No	Electronic check	93.9	5029.2	Yes	0.339205249363
1465-LNTLJ	Male	Yes	Yes	No	8	Yes	No	DSL	No	No	Yes	Yes	No	Yes	Month-to-month	Yes	Credit card (automatic)	64.4	581.7	No	0.244737211579
5440-FLBQG	Male	Yes	Yes	No	69	Yes	Yes	Fiber optic	No	Yes	Yes	Yes	Yes	Yes	Two year	Yes	Bank transfer (automatic)	108.4	7318.2	Yes	0.150819514435
2135-DQWAQ	Female	No	No	No	5	Yes	No	Fiber optic	No	Yes	No	No	Yes	No	Month-to-month	Yes	Mailed check	85.3	420.45	No	0.498491353639
4056-QHXHZ	Female	No	Yes	Yes	72	Yes	Yes	Fiber optic	Yes	No	Yes	Yes	Yes	Yes	Two year	No	Mailed check	107.45	7576.7	No	0.0467038096813
7470-MCQTK	Female	No	Yes	No	13	No	No phone service	DSL	No	No	Yes	No	Yes	Yes	Month-to-month	Yes	Bank transfer (automatic)	48.75	633.4	Yes	0.410041928223
7488-MXJIV	Female	No	No	No	4	Yes	Yes	Fiber optic	No	No	No	No	Yes	No	Month-to-month	Yes	Electronic check	85.65	321.65	Yes	0.782319034343
7401-JIXNM	Female	No	Yes	Yes	54	Yes	Yes	DSL	Yes	Yes	Yes	Yes	Yes	Yes	Two year	No	Credit card (automatic)	91.3	4965.0	No	0.00828138528139
9339-FIIJL	Male	No	Yes	No	72	Yes	Yes	DSL	No	Yes	Yes	Yes	Yes	Yes	Two year	No	Bank transfer (automatic)	85.95	6151.9	No	0.022991537085
2027-FECZV	Male	No	No	No	12	Yes	Yes	Fiber optic	No	Yes	Yes	No	Yes	Yes	Month-to-month	Yes	Electronic check	106.7	1253.9	Yes	0.782341971903
2672-DZUOY	Male	No	No	No	1	No	No phone service	DSL	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	25.15	25.15	Yes	0.646777003625
4706-DGAHW	Male	Yes	No	No	1	Yes	No	DSL	No	No	No	No	No	No	Month-to-month	No	Electronic check	45.2	45.2	No	0.590856636782
3870-MQAMG	Female	No	Yes	No	54	Yes	Yes	Fiber optic	No	Yes	Yes	Yes	Yes	Yes	One year	No	Electronic check	110.35	5893.15	Yes	0.302828412395
6670-MFRPK	Male	No	Yes	Yes	69	Yes	Yes	Fiber optic	No	No	Yes	No	No	No	Two year	Yes	Credit card (automatic)	79.2	5420.65	No	0.0365368467567
6177-PEVRA	Female	No	No	No	48	Yes	No	DSL	Yes	Yes	No	No	No	No	Two year	No	Credit card (automatic)	55.5	2627.35	No	0.0395312228676
4800-CZMPC	Female	No	Yes	Yes	48	Yes	Yes	Fiber optic	Yes	Yes	No	No	Yes	Yes	One year	Yes	Credit card (automatic)	103.25	5037.55	Yes	0.23892110006
4813-HQMGZ	Female	No	Yes	No	8	Yes	Yes	Fiber optic	No	No	No	Yes	No	Yes	Month-to-month	Yes	Electronic check	90.25	743.75	No	0.554552000262
7579-KKLOE	Male	No	Yes	Yes	71	Yes	Yes	DSL	Yes	Yes	Yes	Yes	Yes	Yes	Two year	Yes	Mailed check	91.25	6589.6	No	0.00803496751773
7377-DMMRI	Male	No	No	No	2	Yes	No	DSL	Yes	No	No	No	No	No	Month-to-month	Yes	Electronic check	47.8	92.45	Yes	0.59873732518
8402-EIVQS	Male	No	Yes	No	67	Yes	No	Fiber optic	Yes	Yes	No	No	Yes	Yes	One year	Yes	Credit card (automatic)	100.9	6733.15	No	0.148520723218
4947-DSMXK	Male	No	Yes	Yes	34	Yes	Yes	Fiber optic	No	Yes	No	No	Yes	Yes	Month-to-month	Yes	Bank transfer (automatic)	97.7	3410.0	No	0.284454029432
7245-NIIWQ	Female	No	No	No	3	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	69.85	199.85	No	0.523363315941
0002-ORFBO	Female	No	Yes	Yes	9	Yes	No	DSL	No	Yes	No	Yes	Yes	No	One year	Yes	Mailed check	65.6	593.3	No	0.145843312956
3324-OIRTO	Male	No	Yes	Yes	71	Yes	No	Fiber optic	Yes	Yes	Yes	No	Yes	Yes	One year	Yes	Bank transfer (automatic)	104.65	7288.4	No	0.097895808801
5414-OFQCB	Male	No	No	No	57	Yes	Yes	Fiber optic	No	No	No	Yes	Yes	No	Two year	Yes	Credit card (automatic)	90.45	5229.8	No	0.0791319497604
4967-WPNCF	Male	No	No	No	72	No	No phone service	DSL	Yes	Yes	Yes	Yes	Yes	Yes	Two year	Yes	Bank transfer (automatic)	63.7	4464.8	No	0.00471428571429
8552-OBVRU	Female	Yes	Yes	Yes	48	Yes	No	Fiber optic	Yes	No	Yes	Yes	Yes	Yes	Month-to-month	Yes	Electronic check	104.5	5068.05	No	0.247433999309
8499-BRXTD	Male	No	No	No	18	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	One year	No	Mailed check	20.1	401.85	No	0.00139588100686
9154-QDGTH	Male	No	Yes	Yes	43	Yes	Yes	Fiber optic	No	No	Yes	Yes	Yes	Yes	One year	Yes	Credit card (automatic)	104.3	4451.85	No	0.202731039293
8197-BFWVU	Female	No	Yes	Yes	72	Yes	Yes	DSL	Yes	Yes	Yes	Yes	Yes	Yes	Two year	Yes	Bank transfer (automatic)	93.25	6688.95	No	0.0637301587302
2577-GVSIL	Male	No	Yes	Yes	35	Yes	Yes	DSL	No	No	No	Yes	Yes	Yes	One year	Yes	Bank transfer (automatic)	73.45	2661.1	No	0.1378919612
9367-OIUXP	Male	No	No	No	4	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Month-to-month	No	Mailed check	20.7	73.05	No	0.141076529323
6770-UAYGJ	Female	No	Yes	Yes	49	Yes	Yes	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	No	Mailed check	25.25	1211.65	No	0.0037861952862
6463-HHXJR	Female	No	Yes	Yes	71	Yes	Yes	Fiber optic	Yes	Yes	Yes	No	Yes	No	Two year	No	Bank transfer (automatic)	100.5	7030.65	No	0.0591452051347
7928-VJYAB	Male	No	Yes	Yes	11	Yes	No	Fiber optic	No	No	No	No	Yes	Yes	Month-to-month	No	Electronic check	90.6	1020.2	No	0.487164402674
1187-WILMM	Male	No	Yes	Yes	63	Yes	Yes	DSL	Yes	Yes	Yes	Yes	Yes	Yes	Two year	Yes	Credit card (automatic)	89.4	5597.65	No	0.00861784457373
9776-OJUZI	Female	Yes	No	No	65	Yes	Yes	Fiber optic	No	Yes	Yes	No	Yes	No	Month-to-month	Yes	Bank transfer (automatic)	95.45	6223.3	No	0.261705161132
1306-RPWXZ	Female	No	No	Yes	49	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	No	Credit card (automatic)	20.45	1024.65	No	0.0104273863392
8949-JTMAY	Female	No	No	No	29	Yes	Yes	Fiber optic	No	No	Yes	No	Yes	Yes	Month-to-month	Yes	Credit card (automatic)	98.6	2933.2	Yes	0.443297425887
2774-LVQUS	Female	Yes	Yes	No	15	Yes	Yes	Fiber optic	No	No	Yes	Yes	No	No	Month-to-month	Yes	Electronic check	83.05	1258.3	Yes	0.566972769913
3097-PYWXL	Female	No	Yes	Yes	4	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Month-to-month	Yes	Electronic check	19.95	82.9	No	0.179319277261
2266-SJNAT	Female	No	Yes	No	72	Yes	Yes	Fiber optic	No	Yes	Yes	Yes	Yes	Yes	One year	No	Credit card (automatic)	109.15	7789.6	No	0.139613111569
0869-PAPRP	Female	Yes	Yes	No	26	Yes	No	Fiber optic	No	No	Yes	No	Yes	No	Month-to-month	Yes	Credit card (automatic)	85.7	2067.0	No	0.361580971095
4238-JSSWH	Female	Yes	Yes	No	35	Yes	Yes	Fiber optic	No	No	Yes	No	Yes	Yes	Month-to-month	No	Bank transfer (automatic)	102.05	3452.55	No	0.30991707624
2972-YDYUW	Female	No	No	No	57	Yes	Yes	Fiber optic	No	Yes	No	Yes	No	Yes	One year	No	Electronic check	94.7	5468.95	No	0.224054538664
1104-FEJAM	Male	No	Yes	Yes	28	Yes	Yes	DSL	No	Yes	No	No	No	Yes	Month-to-month	No	Electronic check	64.4	1802.15	No	0.17226780272
2809-ILCYT	Female	No	Yes	No	25	Yes	Yes	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	One year	Yes	Mailed check	26.8	733.55	No	0.0359834901493
5499-ECUTN	Female	No	Yes	No	47	Yes	No	DSL	Yes	No	Yes	No	Yes	No	One year	Yes	Credit card (automatic)	66.05	3021.45	No	0.0389828766565
4981-FLTMF	Female	No	Yes	Yes	57	Yes	Yes	DSL	Yes	Yes	No	Yes	No	No	Month-to-month	No	Bank transfer (automatic)	65.2	3687.85	No	0.06422678886
9121-PHQSR	Male	Yes	Yes	No	16	Yes	Yes	Fiber optic	No	No	No	No	Yes	No	Month-to-month	Yes	Credit card (automatic)	85.05	1391.15	No	0.535735431219
3113-IWHLC	Male	No	No	No	5	Yes	No	DSL	Yes	No	Yes	No	No	No	Month-to-month	Yes	Mailed check	55.8	274.35	No	0.279341502632
3211-ILJTT	Male	No	Yes	No	17	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Bank transfer (automatic)	70.4	1214.05	Yes	0.439052611293
4612-THJBS	Female	Yes	No	No	56	Yes	Yes	Fiber optic	No	Yes	Yes	No	Yes	Yes	One year	Yes	Bank transfer (automatic)	104.75	5510.65	Yes	0.253239994586
4277-BWBML	Male	No	Yes	Yes	72	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	No	Bank transfer (automatic)	19.95	1322.85	No	0.00262931034483
4094-NSEDU	Female	Yes	No	No	21	Yes	Yes	Fiber optic	No	No	No	No	Yes	Yes	Month-to-month	Yes	Electronic check	94.25	1973.75	Yes	0.714861287528
0234-TEVTT	Female	No	Yes	Yes	48	No	No phone service	DSL	Yes	No	Yes	No	No	Yes	One year	No	Credit card (automatic)	45.0	2196.3	No	0.0530415633666
4304-TSPVK	Female	No	Yes	No	68	Yes	Yes	Fiber optic	Yes	Yes	Yes	Yes	Yes	Yes	Two year	No	Bank transfer (automatic)	114.9	7843.55	No	0.0517503176282
1552-AAGRX	Female	No	No	No	30	Yes	Yes	Fiber optic	Yes	No	No	Yes	Yes	Yes	Month-to-month	No	Bank transfer (automatic)	106.4	3211.9	No	0.374211530837
2637-FKFSY	Female	No	Yes	No	3	Yes	No	DSL	No	No	No	No	No	No	Month-to-month	Yes	Mailed check	46.1	130.15	No	0.458693932258
9796-MVYXX	Female	Yes	No	No	14	No	No phone service	DSL	Yes	No	Yes	Yes	No	No	Two year	No	Mailed check	39.7	692.35	No	0.111990176218
7874-ECPQJ	Female	No	No	Yes	4	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Month-to-month	Yes	Bank transfer (automatic)	20.05	85.5	No	0.195646682603
0020-INWCK	Female	No	Yes	Yes	71	Yes	Yes	Fiber optic	No	Yes	Yes	No	No	Yes	Two year	Yes	Credit card (automatic)	95.75	6849.4	No	0.0504159649398
7089-RKVSZ	Male	No	Yes	Yes	8	Yes	Yes	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	One year	No	Mailed check	24.4	203.95	No	0.0221634402038
2683-JXWQQ	Male	No	Yes	Yes	61	No	No phone service	DSL	Yes	No	Yes	No	No	No	Month-to-month	No	Bank transfer (automatic)	33.6	2117.2	No	0.155486380696
9548-ZMVTX	Male	No	Yes	Yes	72	Yes	Yes	Fiber optic	No	Yes	Yes	Yes	No	No	Two year	No	Bank transfer (automatic)	90.45	6565.85	No	0.0606377547615
8739-XNIKG	Female	No	No	No	5	Yes	Yes	Fiber optic	No	No	No	No	Yes	No	Month-to-month	Yes	Electronic check	84.0	424.75	No	0.674946368478
9755-JHNMN	Female	No	No	No	49	Yes	No	DSL	Yes	Yes	Yes	Yes	No	No	Two year	No	Bank transfer (automatic)	67.4	3306.85	No	0.0118780989064
3981-QSVQI	Male	No	No	No	8	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Month-to-month	Yes	Bank transfer (automatic)	19.7	168.9	No	0.124242227226
2789-HQBOU	Male	No	No	No	3	Yes	No	Fiber optic	No	No	No	No	No	Yes	Month-to-month	Yes	Electronic check	80.35	253.8	No	0.713587050203
9424-CMPOG	Male	No	Yes	Yes	9	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	No	Mailed check	19.6	197.4	No	0.00336343732895
5067-WJEUN	Male	No	Yes	Yes	67	Yes	No	DSL	Yes	Yes	No	No	No	No	Two year	Yes	Bank transfer (automatic)	54.2	3838.2	No	0.0470308474135
3450-WXOAT	Male	No	No	No	46	Yes	No	DSL	No	No	No	No	No	No	Month-to-month	Yes	Credit card (automatic)	45.2	2065.15	No	0.131803370483
9251-WNSOD	Female	No	Yes	No	67	Yes	Yes	DSL	Yes	Yes	Yes	No	No	Yes	One year	No	Mailed check	75.1	5064.45	No	0.0404172591932
6974-DAFLI	Female	No	Yes	No	55	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	One year	No	Electronic check	19.7	1140.05	No	0.0435582322392
2616-UUTFK	Male	No	Yes	No	33	Yes	Yes	DSL	Yes	Yes	Yes	No	Yes	No	Month-to-month	Yes	Bank transfer (automatic)	72.75	2447.45	No	0.105413932216
7064-JHXCE	Male	No	Yes	Yes	62	Yes	No	No	No internet service	No internet service	No internet service	No internet service	No internet service	No internet service	Two year	No	Credit card (automatic)	20.05	1263.9	No	0.0
5103-MHMHY	Female	No	No	Yes	1	Yes	No	DSL	No	No	No	No	No	No	Month-to-month	No	Mailed check	45.95	45.95	Yes	0.534319801991
7989-AWGEH	Male	No	Yes	Yes	49	No	No phone service	DSL	Yes	No	No	No	No	Yes	Month-to-month	Yes	Electronic check	39.2	1838.15	No	0.164210335118
4373-VVHQL	Male	No	No	No	1	Yes	No	DSL	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	44.75	44.75	No	0.484170615246
4559-UWIHT	Male	No	Yes	No	14	Yes	Yes	Fiber optic	No	Yes	Yes	No	No	No	Month-to-month	Yes	Electronic check	82.65	1185.0	No	0.683054562159
7268-IGMFD	Male	Yes	No	No	18	Yes	Yes	Fiber optic	No	No	Yes	Yes	Yes	No	Month-to-month	No	Bank transfer (automatic)	93.9	1743.9	No	0.344147478535
1846-XWOQN	Female	Yes	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	70.15	70.15	Yes	0.854242249389
0235-KGSLC	Female	No	No	No	1	Yes	No	Fiber optic	No	No	Yes	No	Yes	No	Month-to-month	Yes	Credit card (automatic)	85.55	85.55	Yes	0.830041244397
6650-BWFRT	Female	No	Yes	No	72	Yes	Yes	Fiber optic	Yes	Yes	Yes	Yes	Yes	Yes	Two year	Yes	Credit card (automatic)	117.15	8529.5	No	0.0194028116028
9570-KYEUA	Male	No	No	No	64	Yes	Yes	Fiber optic	Yes	No	Yes	Yes	No	Yes	Two year	No	Credit card (automatic)	99.25	6549.45	No	0.0743965184791
